"type","description","IO","analyses"
"incore:socialVulnerabilityScore","A csv file with zones containing demographic factorsqualified by a social vulnerability score","output","socialvulnerability"
"ergo:buildingDamageVer5","Building damage results CSV file","input","populationdislocation"
"ergo:buildingDamageVer6","Building damage results CSV file","input","populationdislocation"
"incore:housingUnitAllocation","A csv file with the merged dataset of the inputs, aka ProbabilisticHouse Unit Allocation","input","populationdislocation"
"incore:blockGroupData","Block group racial distribution census CSV data","input","populationdislocation"
"incore:valuLossParam","A table with value loss beta distribution parameters based on Bai et al. 2009","input","populationdislocation"
"incore:popDislocation","A csv file with population dislocation result aggregated to the block group level","output","populationdislocation"
"ergo:roadLinkTopo","Road Inventory","input","roaddamage"
"incore:roads","Road Inventory","input","roaddamage"
"ergo:roadLinkTopoVer2","Road Inventory","input","roaddamage"
"ergo:roadDamageVer3","CSV file of road structural damage","output","roaddamage"
"incore:roadDamageSupplement","additional metadata in json file about applied hazard value and fragility","output","roaddamage"
"incore:structuralCostRatio","Structural cost ratio for each archetype and loss type","input","combinedwindwavesurgebuildingloss"
"incore:contentCostRatio","Content cost ratio for each archetype and damage state","input","combinedwindwavesurgebuildingloss"
"incore:buildingLoss","CSV file of building structural and content loss","output","combinedwindwavesurgebuildingloss"
"ergo:waterFacilityTopo","Water Facility Inventory","input","waterfacilityrepaircost"
"incore:replacementCost","Repair cost of the node in the complete damage state (= Replacement cost)","input","waterfacilityrepaircost"
"incore:waterFacilityDamageRatios","Damage Ratios table","input","waterfacilityrepaircost"
"incore:repairCost","A csv file with repair cost for each water facility","output","waterfacilityrepaircost"
"incore:maxDamageState","CSV file of building maximum damage state","output","combinedwindwavesurgebuildingdamage"
"incore:buildingInventoryArea","Building square footage and damage. Damage is the actual building value loss in percentage terms observed through the County Appraisal District (GCAD) data","input","housingrecovery"
"incore:censusBlockGroupsData","Census ACS data, 2010 5yr data for block groups available at IPUMS NHGIS website.","input","housingrecovery"
"incore:censusAppraisalData","Census data, 2010 Decennial Census District (GCAD) Census data","input","housingrecovery"
"incore:buildingValues","A csv file with the building values for the 6 years following the disasterevent (year -1 denotes pre-impact conditions and 0 being the impact year). Index year values represent building values against a base, pre-impact value.","output","housingrecovery"
"ergo:nsBuildingInventoryDamageVer3","CSV file of damage states for building non-structural damage","output","nonstructbuildingdamage"
"incore:nsBuildingInventoryDamageSupplement","Json file with information about applied hazard value and fragility","output","nonstructbuildingdamage"
"incore:CGEsam","Social accounting matrix (SAM) contains data for firms, households and government which are organized in a way to represent the interactions of all three entities in a typical economy.","input","galvestoncgemodel"
"incore:CGEbb","BB is a matrix which describes how investment in physical infrastructure is transformed into functioning capital such as commercial and residential buildings. These data are collected from the Bureau of Economic Analysis (BEA).","input","galvestoncgemodel"
"incore:CGEiout","IOUT is a matrix that describes the transfer of tax revenue collected by the local government to help finance local government expenditures.","input","galvestoncgemodel"
"incore:CGEmisc","MISC is the name of a file that contains data for commercial sector employment and physical capital. It also contains data for the number of households and working households in the economy.","input","galvestoncgemodel"
"incore:CGEmisch","MISCH is a file that contains elasticities for the supply of labor with respect to paying income taxes.","input","galvestoncgemodel"
"incore:CGEemploy","EMPLOY is a table name containing data for commercial sector employment.","input","galvestoncgemodel"
"incore:CGEjobcr","JOBCR is a matrix describing the supply of workers coming from each household group in the economy.","input","galvestoncgemodel"
"incore:CGEoutcr","OUTCR is a matrix describing the number of workers who live in Galveston but commute outside of town to work.","input","galvestoncgemodel"
"incore:Employment","CSV file of resulting domestic supply","output","galvestoncgemodel"
"incore:FactorDemand","CSV file of factor demand before disaster","output","galvestoncgemodel"
"incore:HouseholdCount","CSV file of household count","output","galvestoncgemodel"
"incore:retrofitStrategy","Building retrofit strategy that contains guid and retrofit method","input","buildingdamage"
"incore:buildingDamageSupplement","Json file with information about applied hazard value and fragility","output","buildingdamage"
"incore:housingUnitInventory","Housing Unit Inventory CSV data, aka Census Block data. Corresponds to a possible occupied housing unit, vacant housing unit, or a group quarters","input","housingunitallocation"
"incore:addressPoints","CSV dataset of address locations available in a block. Corresponds to a specific address where a housing unit or group quarters could be assigned","input","housingunitallocation"
"incore:houseRecTransitionProbMatrix","Transition probability matrix in CSV format that specifies the corresponding Markov chain per social vulnerability level.","input","housingrecoverysequential"
"incore:houseRecInitialStageProbability","initial mass probability function for stage 0 of the Markov Chain","input","housingrecoverysequential"
"incore:housingRecoveryHistory","A csv file with housing recovery sequencesat the individual household level","output","housingrecoverysequential"
"incore:waterNetwork","WDS network","input","ncifunctionality"
"incore:networkInterdependencyTable","Table containing interdependency information from EPN to WDS networks","input","ncifunctionality"
"incore:inventoryRestorationMap","EPF inventory restoration map","input","ncifunctionality"
"incore:epfRestorationTime","A csv file recording repair time for EPF per class and limit state","input","ncifunctionality"
"ergo:waterFacilityDamageVer6","WDS damage results","input","ncifunctionality"
"incore:waterFacilityRestorationTime","A csv file recording repair time for WDS per class and limit state","input","ncifunctionality"
"incore:epfDiscretizedCascadingFunc","CSV file of interdependent cascading network functionality for EPF","output","ncifunctionality"
"incore:pipelineDamageRatios","Damage Ratios table","input","pipelinerepaircost"
"incore:pipelineRepairCost","A csv file with repair cost for each pipeline","output","pipelinerepaircost"
"incore:pipelineDamageSupplement","additional metadata in json file about applied hazard value and fragility","output","pipelinedamagerepairrate"
"ergo:bridges","Bridge Inventory","input","bridgedamage"
"ergo:bridgesVer2","Bridge Inventory","input","bridgedamage"
"ergo:bridgesVer3","Bridge Inventory","input","bridgedamage"
"ergo:bridgeDamageVer3","CSV file of bridge structural damage","output","bridgedamage"
"incore:bridgeDamageSupplement","additional metadata in json file about applied hazard value and fragility","output","bridgedamage"
"incore:epfDamageRatios","Damage Ratios table","input","epfrepaircost"
"ergo:nsBuildingInventoryDamage","Building damage results CSV file","input","joplinempiricalrestoration"
"ergo:nsBuildingInventoryDamageVer2","Building damage results CSV file","input","joplinempiricalrestoration"
"incore:buildingFuncTargetVer1","Functionality level per building. The target level defaults to target_functionality_level parameter if building not in the dataset","input","joplinempiricalrestoration"
"incore:restorationTime","A dataset containing results (format: CSV) with values (in days) for the predicted restoration time of the building.","output","joplinempiricalrestoration"
"incore:epfDamage","damage result that has damage intervals in it","input","epfrestoration"
"incore:epfDamageVer2","damage result that has damage intervals in it","input","epfrestoration"
"incore:epfRestorationFunc","A csv file recording functionality change with time for each class and limit state.","output","epfrestoration"
"incore:epfDiscretizedRestorationFunc","A csv file recording discretized functionality over time","output","epfrestoration"
"incore:epfRepairTime","A csv file recording repair time at full functionality recovery for each guid and limit state.","output","epfrestoration"
"incore:CGElandcap","LANDCAP contains information regarding elasticity values for the response of changes in the price of physical capital with respect to the supply of investment.","input","joplincgemodel"
"incore:CGEigtd","IGTD variable represents a matrix describing the transfer of taxes collected to a variable which permits governments to spend the tax revenue on workers and intermediate inputs.","input","joplincgemodel"
"incore:CGEtauff","TAUFF represents social security tax rates","input","joplincgemodel"
"incore:waterFacilityRestorationFunc","A csv file recording functionality change with time for each class and limit state.","output","waterfacilityrestoration"
"incore:waterFacilityDiscretizedRestorationFunc","A csv file recording discretized functionality over time","output","waterfacilityrestoration"
"incore:waterFacilityRepairTime","A csv file recording repair time at full functionality recovery for each guid and limit state.","output","waterfacilityrestoration"
"incore:tornadoWindfield","Tornado Dataset","input","tornadoepndamage"
"incore:tornadoEPNDamageVer3","CSV file of damages for electric power network by tornado","output","tornadoepndamage"
"incore:tornadoEPNDamageSupplement","Json file with information about applied hazard value and fragility","output","tornadoepndamage"
"ergo:bridgeDamage","damage result that has damage intervals in it","input","montecarlofailureprobability"
"ergo:bridgeDamageVer2","damage result that has damage intervals in it","input","montecarlofailureprobability"
"ergo:waterFacilityDamageVer4","damage result that has damage intervals in it","input","montecarlofailureprobability"
"ergo:waterFacilityDamageVer5","damage result that has damage intervals in it","input","montecarlofailureprobability"
"ergo:roadDamage","damage result that has damage intervals in it","input","montecarlofailureprobability"
"ergo:roadDamageVer2","damage result that has damage intervals in it","input","montecarlofailureprobability"
"incore:pipelineDamage","damage result that has damage intervals in it","input","montecarlofailureprobability"
"incore:pipelineDamageVer2","damage result that has damage intervals in it","input","montecarlofailureprobability"
"incore:pipelineDamageVer3","damage result that has damage intervals in it","input","montecarlofailureprobability"
"incore:SeasideCGEsam","Social accounting matrix (SAM) contains data for firms, households and government which are organized in a way to represent the interactions of all three entities in a typical economy.","input","seasidecgemodel"
"incore:SeasideCGEbb","BB is a matrix which describes how investment in physical infrastructure is transformed into functioning capital such as commercial and residential buildings. These data are collected from the Bureau of Economic Analysis (BEA).","input","seasidecgemodel"
"incore:SeasideCGEhhtable","HH Table.","input","seasidecgemodel"
"incore:SeasideCGEemploy","EMPLOY is a table name containing data for commercial sector employment.","input","seasidecgemodel"
"incore:SeasideCGEjobcr","JOBCR is a matrix describing the supply of workers coming from each household group in the economy.","input","seasidecgemodel"
"incore:SeasideCGEsim","Random numbers for the change of capital stocks in the CGE model.","input","seasidecgemodel"
"incore:SeasideCGEsims","CSV file of Seaside cge simulations","output","seasidecgemodel"
"incore:SeasideCGEEmployDS","CSV file of output of Seaside cge, containing changes in employment and supply.","output","seasidecgemodel"
"incore:waterFacilityDamageSupplement","additional metadata in json file about applied hazard value and fragility","output","waterfacilitydamage"
"incore:powerLineSupplyDemandInfo","Supply and demand information for powerlines","input","indp"
"incore:epfSupplyDemandInfo","Supply and demand information for epfs","input","indp"
"incore:waterFacilitySupplyDemandInfo","Supply and demand information for water facilities","input","indp"
"incore:pipelineSupplyDemandInfo","Supply and demand information for water pipelines","input","indp"
"incore:interdep","Interdepenency between water and electric power facilities","input","indp"
"incore:bldgs2elec","relation between building and electric power facility","input","indp"
"incore:bldgs2wter","relation between building and water facility","input","indp"
"incore:indpAction","Restoration action plans","output","indp"
"incore:indpCost","Restoration cost plans","output","indp"
"incore:indpRuntime","Restoration runtime plans","output","indp"
"ergo:buildingDamageRatios","Damage Ratios table","input","meandamage"
"ergo:bridgeDamageRatios","Damage Ratios table","input","meandamage"
"ergo:buildingContentDamageRatios","Damage Ratios table","input","meandamage"
"ergo:buildingASDamageRatios","Damage Ratios table","input","meandamage"
"ergo:buildingDSDamageRatios","Damage Ratios table","input","meandamage"
"ergo:roadDamageRatios","Damage Ratios table","input","meandamage"
"ergo:roadNetwork","road nodes","input","transportationrecovery"
"incore:bridgeDamageValue","","input","transportationrecovery"
"incore:unrepairedBridge","","input","transportationrecovery"
"incore:ADT","","input","transportationrecovery"
"incore:transportationRepairSchedule","List the Bridge id and its ending repair time.","output","transportationrecovery"
"incore:transportationRecovery","shows the overall recovery trajectory of the transportation system. List the ending time and travel efficiency for the whole network.","output","transportationrecovery"
